sozlesme_hesap_no;toplam_tuketim_kwh;ortalama_tuketim_kwh;medyan_tuketim_kwh;standart_sapma_kwh;minimum_tuketim_kwh;maksimum_tuketim_kwh;fatura_kayit_sayisi;ilce;hesap_sinifi;aktif_donem_sayisi;ilk_donem;son_donem;toplam_tuketim_yuzdelik;tuketim_segmenti
6062508707;10439,69;171,14245901639345;180,67;55,320764837317576;41,28;274,09;61;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,27112053729233;En yüksek %5
7900873631;10423,5;168,1209677419355;167,39;42,81329197270314;79,25;266,36;62;HAMAMÖZÜ;Mesken;31;2023-01-01;2025-07-01;97,26758571933546;En yüksek %5
2905567557;10404,15;167,80887096774194;164,81;47,48160893681868;71,38;291,21;62;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,26405090137857;En yüksek %5
5789532651;10380,67;610,6276470588235;647,52;493,47719122226675;0,0;1628,96;17;GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;10;2023-01-01;2023-10-01;97,2605160834217;En yüksek %5
6249653865;10369,08;164,58857142857144;152,49;67,43465852591612;39,05;345,11;63;GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,25698126546483;En yüksek %5
7171480447;10368,33;167,23112903225805;154,12;47,45986404769509;105,35;254,71;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,25344644750795;En yüksek %5
1129960859;10357,59;167,05790322580646;135,64;132,6961120057144;12,88;641,8;62;GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,24991162955108;En yüksek %5
4293202260;10357,12;334,10064516129034;336,26;12,436795925929871;301,46;353,63;31;GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,2463768115942;En yüksek %5
1870965531;10340,56;166,7832258064516;169,28;122,38718122061844;18,63;454,13;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,24284199363733;En yüksek %5
5982843789;10327,32;166,56967741935483;166,32;60,959133313396656;88,01;333,1;62;GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,23930717568045;En yüksek %5
6080692221;10308,16;166,2606451612903;149,47;66,47204315265492;66,07;378,31;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,23577235772358;En yüksek %5
6774211264;10303,08;166,17870967741936;161,79;52,86434630053779;54,74;264,22;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,2322375397667;En yüksek %5
8056971726;10289,539999999999;168,68098360655736;156,25;89,61628190429307;41,78;571,08;61;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,22870272180982;En yüksek %5
4751853413;10289,02;165,95193548387098;105,64500000000001;152,89768767980712;18,91;628,39;62;GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,22516790385295;En yüksek %5
9264107728;10282,73;489,6538095238095;523,49;242,65484259491276;91,69;960,76;21;GÜMÜŞHACIKÖY;Mesken;14;2024-06-01;2025-07-01;97,22163308589607;En yüksek %5
8054780187;10282,58;165,84806451612903;155,915;52,53486014656099;72,92;313,81;62;HAMAMÖZÜ;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,2180982679392;En yüksek %5
5616894336;10258,76;165,46387096774194;156,37;55,308067278485126;69,87;438,03;62;GÖYNÜCEK;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,21456344998232;En yüksek %5
3133966407;10257,539999999999;165,4441935483871;164,48;32,04154933465613;102,32;239,51;62;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,21102863202546;En yüksek %5
9460024631;10255,43;165,41016129032258;154,505;47,31506707281208;54,97;272,51;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,20749381406858;En yüksek %5
6584779725;10253,54;165,37967741935486;157,195;48,05526920385414;87,67;253,73;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,20395899611171;En yüksek %5
1866401119;10250,45;165,32983870967743;156,44;38,55508482090694;82,98;281,69;62;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,20042417815482;En yüksek %5
5920733716;10221,81;243,37642857142856;243,15;109,10052133343122;12,07;483,03;42;HAMAMÖZÜ;Ticari Faaliyet - Yazıhane;22;2023-10-01;2025-07-01;97,19688936019794;En yüksek %5
3669023656;10195,880000000001;164,44967741935486;169,68;76,8826380018515;41,24;302,73;62;HAMAMÖZÜ;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,19335454224107;En yüksek %5
76384625;10187,69;161,70936507936509;159,13;47,650470595551006;73,68;238,92;63;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,1898197242842;En yüksek %5
926681918;10180,460000000001;169,67433333333335;160,78;79,85841091872088;69,87;479,64;60;GÜMÜŞHACIKÖY;Mesken;30;2023-02-01;2025-07-01;97,18628490632733;En yüksek %5
7723515036;10180,43;166,8922950819672;91,08;188,50362830631352;6,2;888,17;61;GÖYNÜCEK;İbadethane Isıtma/Soğutma/Lojman;31;2023-01-01;2025-07-01;97,18275008837045;En yüksek %5
6220767746;10178,68;164,17225806451614;122,845;170,77381013376856;57,44;1122,07;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,17921527041358;En yüksek %5
4734280453;10174,56;169,576;164,12;55,62614094659246;71,23;382,25;60;GÖYNÜCEK;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,1756804524567;En yüksek %5
6271945804;10173,82;164,09387096774194;159,97;64,0526935064069;60,18;314,94;62;HAMAMÖZÜ;Mesken;31;2023-01-01;2025-07-01;97,17214563449981;En yüksek %5
5385867266;10152,99;161,15857142857143;166,42;53,58936717048187;28,3;280,89;63;HAMAMÖZÜ;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,16861081654294;En yüksek %5
7941953857;10134,27;163,4559677419355;164,39;67,70085343336154;74,0;442,95;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,16507599858608;En yüksek %5
9826604739;10119,93;165,9004918032787;140,79;98,6629896064752;5,6;399,71;61;HAMAMÖZÜ;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,1615411806292;En yüksek %5
3261867344;10114,42;163,1358064516129;137,01;77,38017970794624;79,33;393,55;62;GÖYNÜCEK;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,15800636267232;En yüksek %5
9456968525;10097,36;162,86064516129034;163,32999999999998;43,31099356412147;60,31;343,19;62;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,15447154471545;En yüksek %5
7686731050;10092,41;162,7808064516129;146,695;48,23533156115322;98,55;310,82;62;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,15093672675857;En yüksek %5
1914748876;10086,8;160,1079365079365;158,36;60,88171302745345;63,54;309,01;63;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,1474019088017;En yüksek %5
2184425951;10080,69;168,0115;150,37;79,11201579706194;46,54;411,3;60;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,14386709084482;En yüksek %5
8910450769;10061,91;162,28887096774193;154,17000000000002;46,882310030397996;89,5;249,08;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,14033227288795;En yüksek %5
315067971;10059,53;173,4401724137931;164,39;44,37545921645778;100,87;318,18;58;GÖYNÜCEK;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;97,13679745493107;En yüksek %5
