ilce;hesap_sinifi;toplam_kwh;ortalama_kwh;medyan_kwh;benzersiz_musteri;ilce_toplam_kwh;ilce_tuketim_payi_yuzde
GÖYNÜCEK;Resmi Üniversite,Yük.Okul,Kurs,Yurt,Okul;76387,21;561,670661764706;145,47;22;26472614,19;0,2885518198231257
GÖYNÜCEK;Resmi İbadethane Isıtma/Soğutma/Lojman;63,68;9,097142857142858;5,0;1;26472614,19;0,0002405504781014602
GÖYNÜCEK;Sanayi;348655,44;7923,987272727273;2205,48;1;26472614,19;1,3170419721211521
GÖYNÜCEK;Süt Toplama Merkezi;108547,06;386,28846975088965;145,42;8;26472614,19;0,4100352886229254
GÖYNÜCEK;Tarımsal Faaliyetler (Kooperatif);2864914,3;3515,23226993865;171,75;31;26472614,19;10,822181290589041
GÖYNÜCEK;Tarımsal Faaliyetler (Şahıs);2302245,91;879,3911038961039;21,76;66;26472614,19;8,69670782596783
GÖYNÜCEK;Ticari Faaliyet - Yazıhane;3104339,47;153,45227236777066;39,64;463;26472614,19;11,726607156057375
GÖYNÜCEK;Ölçümsüz Aboneler (Resmi Daire);3913,92;782,784;803,52;1;26472614,19;0,014784788430447032
GÖYNÜCEK;İbadethane Aydınlatma;18790,329999999998;23,027365196078428;12,36;37;26472614,19;0,07098025856130984
GÖYNÜCEK;İbadethane Isıtma/Soğutma/Lojman;288011,63;96,32495986622074;60,22;76;26472614,19;1,0879606673253903
GÖYNÜCEK;İktisadi İşletmeleri Hariç Dernek ve Vkf;24568,15;233,98238095238096;180,56;4;26472614,19;0,0928059081119408
GÖYNÜCEK;İç Tüketim;19794,829999999998;319,2714516129032;254,01;1;26472614,19;0,07477474592394986
GÖYNÜCEK;İçme-Kullanma Suyu (Belediye);566836,64;15319,90918918919;14603,6;1;26472614,19;2,1412189817434877
GÖYNÜCEK;Şantiye ve Geçici Aboneler;198035,84;158,30203037569945;43,43;30;26472614,19;0,7480781405971149
GÖYNÜCEK;Şehit Aileleri ve Gaziler;72063,42;90,64581132075472;73,2;13;26472614,19;0,2722187521141069
GÜMÜŞHACIKÖY;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;4323094,3;892,4637283236993;24,435000000000002;140;74526473,58;5,800749844093186
GÜMÜŞHACIKÖY;Aritma Tesisleri;580796,12;16594,174857142858;16186,91;2;74526473,58;0,7793151776818581
GÜMÜŞHACIKÖY;Balıkçılık ve Su Ürünleri Yetiştiriciliğ;5719,13;93,75622950819672;79,56;1;74526473,58;0,007673957622402238
GÜMÜŞHACIKÖY;Belediye;1068443,8699999999;953,1167439785904;135,8;25;74526473,58;1,4336434003590484
GÜMÜŞHACIKÖY;Belediye Park Bahçe Aydınlatma;11150,9;31,95100286532951;18,39;7;74526473,58;0,014962334140270482
GÜMÜŞHACIKÖY;Bina Ort Kul (Asn,Hidr,Kapıcı Dai vb.);61377,33;26,051498302207133;11,344999999999999;72;74526473,58;0,08235641249564139
GÜMÜŞHACIKÖY;Büyükbaş-Küçükbaş Hayvancılık;24999,06;35,16042194092827;19,54;25;74526473,58;0,033543865420071046
GÜMÜŞHACIKÖY;Cemevleri;6317,89;10,34024549918167;5,38;20;74526473,58;0,008477376825321138
GÜMÜŞHACIKÖY;Diyanet Kuran Kursu;7019,669999999999;167,135;22,115;8;74526473,58;0,009419028786414771
GÜMÜŞHACIKÖY;Doğal Afet Barınma;8539,45;73,61594827586208;73,86500000000001;3;74526473,58;0,01145827729368327
